fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url
1,1,John McCarthy,1593,3295,1593,N,F,Open Weight,M,Submission,Guillotine Choke From Mount,1,0:20,http://ufcstats.com/fight-details/4acab67848e78327
2,1,John McCarthy,640,108,640,N,F,Open Weight,M,Submission,Guillotine Choke Standing,1,0:58,http://ufcstats.com/fight-details/4b9ae533ccb3fcdf
3,1,John McCarthy,1060,2038,1060,N,F,Open Weight,M,KO/TKO,"Punches to Head From Guard
      Submission to Strikes",1,2:13,http://ufcstats.com/fight-details/ccee020be2e8d9f6
4,1,John McCarthy,2663,1952,2663,N,F,Open Weight,M,Submission,Keylock From Half Guard,1,4:52,http://ufcstats.com/fight-details/d917c8c7461b9831
5,1,John McCarthy,141,1962,141,N,F,Open Weight,M,KO/TKO,"to    
      Corner Stoppage",1,2:50,http://ufcstats.com/fight-details/3b020d4914b44fc8
6,1,John McCarthy,1324,2051,1324,N,F,Open Weight,M,Submission,Ezekiel Choke From Side Control,1,9:51,http://ufcstats.com/fight-details/17ee4caf06981b81
7,1,John McCarthy,3247,3880,3247,N,F,Open Weight,M,Submission,Triangle Choke From Mount,1,6:41,http://ufcstats.com/fight-details/c53325be8ce33b8b
8,1,John McCarthy,2758,2465,2758,N,F,Open Weight,M,Submission,Armbar On Ground,1,5:08,http://ufcstats.com/fight-details/fcd8e8ec45eb6b9f
9,1,John McCarthy,640,1593,640,N,F,Open Weight,M,KO/TKO,Elbows to Head From Mount,1,0:30,http://ufcstats.com/fight-details/8ea72cf82fac07f6
10,1,John McCarthy,1060,3055,1060,N,F,Open Weight,M,Submission,Bulldog Choke On Ground,1,3:07,http://ufcstats.com/fight-details/b72acedda7ddc006
11,1,John McCarthy,1324,141,1324,N,F,Open Weight,M,KO/TKO,Elbows to Head From Side Control,1,1:29,http://ufcstats.com/fight-details/c4aa04781989699e
12,1,John McCarthy,2758,3247,2758,N,F,Open Weight,M,Submission,Armbar From Mount,1,1:07,http://ufcstats.com/fight-details/5655639baecd8f6a
13,1,John McCarthy,640,1060,640,N,F,Open Weight,M,Submission,Guillotine Choke Standing,1,1:07,http://ufcstats.com/fight-details/8fbdde20b712b8da
14,1,John McCarthy,2758,1324,2758,N,F,Open Weight,M,Submission,Gi Choke From Back Control,1,1:31,http://ufcstats.com/fight-details/aa161c7159741766
15,1,John McCarthy,2758,640,2758,N,T,,M,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,1:17,http://ufcstats.com/fight-details/00835554f95fa911
16,2,John McCarthy,2681,61,2681,N,F,Open Weight,M,KO/TKO,Punches to Head On Ground,1,1:59,http://ufcstats.com/fight-details/8887948f0c097cd8
17,2,John McCarthy,737,2055,737,N,F,Open Weight,M,KO/TKO,"Punches to Head From Half Guard
      Submission to Strikes",1,4:49,http://ufcstats.com/fight-details/56315d5ac11594a5
18,2,John McCarthy,2494,1287,2494,N,F,Open Weight,M,KO/TKO,Punches to Head In Clinch,1,0:46,http://ufcstats.com/fight-details/ca837b002a318766
19,2,John McCarthy,2758,2047,2758,N,F,Open Weight,M,Submission,Armbar From Bottom Guard,1,4:40,http://ufcstats.com/fight-details/f65b000b7e450bcf
20,2,John McCarthy,737,1667,737,N,F,Open Weight,M,Submission,Rear Naked Choke,1,4:34,http://ufcstats.com/fight-details/5167a5aec41f8b6d
21,2,John McCarthy,2389,2494,2389,N,T,,M,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,1:27,http://ufcstats.com/fight-details/323f543eb8abdb36
22,3,John McCarthy,3490,942,3490,N,F,Open Weight,M,Submission,Armbar,1,0:14,http://ufcstats.com/fight-details/a1db4c917777aa79
23,3,John McCarthy,3714,3226,3714,N,F,Open Weight,M,KO/TKO,to,1,4:55,http://ufcstats.com/fight-details/b80e6a799c95d499
24,3,John McCarthy,1710,3036,1710,N,F,Open Weight,M,KO/TKO,"to    
      Corner Stoppage",1,2:13,http://ufcstats.com/fight-details/8f8f47a728c3127e
25,3,John McCarthy,2758,293,2758,N,F,Open Weight,M,Submission,Rear Naked Choke,1,3:49,http://ufcstats.com/fight-details/0b71ada6c9209fc9
26,3,John McCarthy,2681,609,2681,N,F,Open Weight,M,Submission,Other - Choke From Side Control,1,2:44,http://ufcstats.com/fight-details/ccccc0a22b05eac6
27,3,John McCarthy,2389,3704,2389,N,F,Open Weight,M,Submission,Armbar From Mount,1,4:47,http://ufcstats.com/fight-details/7e7d7a488ea21f63
28,3,John McCarthy,745,1932,745,N,F,Open Weight,M,Submission,Rear Naked Choke,1,1:45,http://ufcstats.com/fight-details/040ecf01338dff9e
29,3,John McCarthy,2758,2681,2758,N,F,Open Weight,M,Submission,Armbar From Bottom Guard,1,5:32,http://ufcstats.com/fight-details/9c74c2758a2c7c2e
30,3,John McCarthy,745,3714,745,N,F,Open Weight,M,Submission,Arm Triangle From Mount,1,0:52,http://ufcstats.com/fight-details/e65a23b80c869456
31,3,John McCarthy,2758,745,2758,N,T,,M,Submission,Triangle Choke From Bottom Guard,1,5:49,http://ufcstats.com/fight-details/f29eec19aa5c1303
32,4,Lonnie Foster,3805,3567,3805,1,F,Open Weight,M,KO/TKO,"to    
      Corner Stoppage",1,0:21,http://ufcstats.com/fight-details/802c0e4e228996ac
33,4,John McCarthy,1710,3173,1710,1,F,Open Weight,M,KO/TKO,Punches to Head From Mount,1,2:02,http://ufcstats.com/fight-details/fa152ada833de1d4
34,4,John McCarthy,2566,3983,2566,1,F,Open Weight,M,KO/TKO,Knees to Head On Ground,1,1:23,http://ufcstats.com/fight-details/fa3b940bd48da7e2
35,4,John McCarthy,1746,3329,1746,1,F,Open Weight,M,Submission,Forearm Choke From Half Guard,1,2:55,http://ufcstats.com/fight-details/43c2c904e1574c59
